productURL,productName from URL,productVariant from URL,Stock Status from URL,price,PSproductKey,PSmodelName,Category,Notes for cadets 
https://www.lazada.com.my/products/apple-ipad-102-inch-9th-gen-wi-fi-i2477575777.html,Apple iPad 10.2-inch 9th Gen Wi-Fi,256GB,,MYR;2135,apple-ipad-10-2-2021-256gb-wi-fi,Apple iPad 10.2 (2021) (256GB) Wi-Fi,Tablet,You can also suggest 2 more product keys as secondary options
https://www.lazada.com.my/products/apple-ipad-102-inch-9th-gen-wi-fi-i2477575777.html,Apple iPad 10.2-inch 9th Gen Wi-Fi,64GB,Out of stock,MYR;1435,apple-ipad-10-2-2021-64gb-wi-fi,Apple iPad 10.2 (2021) (64GB) Wi-Fi,Tablet,
https://www.lazada.com.my/products/samsung-galaxy-a03-34gb3264gb-original-samsung-malaysia-i2795057599.htmll,SAMSUNG GALAXY A03 (3/4GB+32/64GB) *[ORIGINAL SAMSUNG MALAYSIA]*,32GB,Only 1 item left,MYR;469,samsung-galaxy-a03-3-plus-32gb,Samsung Galaxy A03 (3+32GB),Mobile,"Can ignore color variants, just focus on the spec variant"
https://www.lazada.com.my/products/samsung-galaxy-a03-34gb3264gb-original-samsung-malaysia-i2795057599.htmll,SAMSUNG GALAXY A03 (3/4GB+32/64GB) *[ORIGINAL SAMSUNG MALAYSIA]*,64GB,Only 2 items left,MYR;549,samsung-galaxy-a03-4-plus-64gb,Samsung Galaxy A03 (4+64GB),Mobile,
https://www.lazada.com.my/products/infinix-note-10-6gb128gbnew-model-original-infinix-malaysiaready-stock-i2394787430.html,INFINIX NOTE 10 (6GB+128GB)NEW MODEL [ORIGINAL INFINIX MALAYSIA](READY STOCK),,Out of stock,MYR;669,No close product found,No close product found,#NA,"If product not found, try to see if can show ""Not found"" status"
